 idConsulta,Consulta,10_preguntas_similares,5_preguntas_similares,3_preguntas_similares
11,Que se realiza en la exhibición de nómina de aspirantes,"Que se realiza en la exhibición de nómina de aspirantes
¿Qué se hace durante la exhibición de la lista de aspirantes?
¿Qué se lleva a cabo en la exhibición de la nómina de aspirantes?
¿Qué acciones se toman al exhibir la nómina de los postulantes?
¿Qué pasos se siguen en la presentación de la lista de aspirantes?
¿Qué procedimiento se realiza al publicar la nómina de aspirantes?
¿Qué medidas se adoptan al mostrar la lista de aspirantes?
¿Qué actividades se hacen en la exhibición de la nómina de candidatos?
¿Qué se efectúa durante la exhibición de la lista de aspirantes?
¿Qué se presenta en la exposición de la nómina de aspirantes?","Que se realiza en la exhibición de nómina de aspirantes
 ¿Qué se hace durante la exhibición de la lista de aspirantes?
 ¿Qué se lleva a cabo en la exhibición de la nómina de aspirantes?
 ¿Qué acciones se toman al exhibir la nómina de los postulantes?
 ¿Qué pasos se siguen en la presentación de la lista de aspirantes?","Que se realiza en la exhibición de nómina de aspirantes
¿Qué se hace durante la exhibición de la lista de aspirantes?
¿Qué se lleva a cabo en la exhibición de la nómina de aspirantes?"
12,Quienes pueden ejercer el derecho de impugnar la participación en el concurso de los aspirantes?,"Quienes pueden ejercer el derecho de impugnar la participación en el concurso de los aspirantes?
¿Quiénes están habilitados para impugnar la participación de los candidatos en un concurso?
¿Quiénes tienen la potestad de objetar la participación de aspirantes en el concurso?
¿Quiénes pueden cuestionar la participación de un candidato en el concurso?
¿Quiénes están autorizados para ejercer la impugnación contra un aspirante en el concurso?
¿Quiénes pueden hacer uso del derecho de impugnación en contra de los participantes del concurso?
¿Quiénes tienen derecho a presentar una impugnación contra los aspirantes en el concurso?
¿Quiénes están facultados para impugnar la participación de los postulantes en un concurso?
¿Quiénes pueden interponer una impugnación contra los candidatos en el concurso?
¿Quiénes pueden ejercer la impugnación sobre la participación de los aspirantes en el concurso?","Quienes pueden ejercer el derecho de impugnar la participación en el concurso de los aspirantes?
 ¿Quiénes están habilitados para impugnar la participación de los candidatos en un concurso?
 ¿Quiénes tienen la potestad de objetar la participación de aspirantes en el concurso?
 ¿Quiénes pueden cuestionar la participación de un candidato en el concurso?
 ¿Quiénes están autorizados para ejercer la impugnación contra un aspirante en el concurso?","Quienes pueden ejercer el derecho de impugnar la participación en el concurso de los aspirantes?
¿Quiénes están habilitados para impugnar la participación de los candidatos en un concurso?
¿Quiénes tienen la potestad de objetar la participación de aspirantes en el concurso?"
13,Que consecuencias tiene la interposición de la impugnación?,"Que consecuencias tiene la interposición de la impugnación?
¿Qué efectos produce la presentación de una impugnación?
¿Qué sucede al interponer una impugnación?
¿Cuáles son las consecuencias de impugnar?
¿Qué implica presentar una impugnación?
¿Qué efectos acarrea la interposición de una impugnación?
¿Qué resultados se obtienen al interponer una impugnación?
¿Qué pasa cuando se presenta una impugnación?
¿Qué consecuencias que tiene la interposición de una impugnación?
¿Qué repercusiones se tiene al presentar una impugnación?","Que consecuencias tiene la interposición de la impugnación?
 ¿Qué efectos produce la presentación de una impugnación?
 ¿Qué sucede al interponer una impugnación?
 ¿Cuáles son las consecuencias de impugnar?
 ¿Qué implica presentar una impugnación?","Que consecuencias tiene la interposición de la impugnación?
¿Qué efectos produce la presentación de una impugnación?
¿Qué sucede al interponer una impugnación?"
14,Que tiene que pasar para que el consejo directivo excluya a un aspirante?,"Que tiene que pasar para que el consejo directivo excluya a un aspirante?
¿Qué condiciones se deben cumplir para que el consejo directivo decida excluir a un aspirante?
¿Qué motivos debe haber para que el consejo directivo expulse a un aspirante?
¿Qué circunstancias permiten al consejo directivo excluir a un postulante?
¿Qué causa la exclusión de un aspirante por parte del consejo directivo?
¿Qué razones debe considerar el consejo directivo para excluir a un candidato?
¿Qué puede prococar que el consejo directivo retire a un aspirante del concurso?
¿Qué condiciones llevan al consejo directivo a excluir a un postulante del proceso?
¿Qué situaciones deben ocurrir para que el consejo directivo pueda excluir a un aspirante?
¿Qué motivos llevan al consejo directivo a decidir la exclusión de un aspirante?","Que tiene que pasar para que el consejo directivo excluya a un aspirante?
 ¿Qué condiciones se deben cumplir para que el consejo directivo decida excluir a un aspirante?
 ¿Qué motivos debe haber para que el consejo directivo expulse a un aspirante?
 ¿Qué circunstancias permiten al consejo directivo excluir a un postulante?
 ¿Qué causa la exclusión de un aspirante por parte del consejo directivo?","Que tiene que pasar para que el consejo directivo excluya a un aspirante?
¿Qué condiciones se deben cumplir para que el consejo directivo decida excluir a un aspirante?
¿Qué motivos debe haber para que el consejo directivo expulse a un aspirante?"
15,Que organismo designa a los integrantes del jurado?,"Que organismo designa a los integrantes del jurado?
¿Qué entidad es responsable de nombrar a los miembros del jurado?
¿Quién designa a los integrantes del jurado?
¿Qué organismo tiene la potestad de designar a los miembros del jurado?
¿Qué autoridad se encarga de designar a los integrantes del jurado?
¿Quién se ocupa de seleccionar a los miembros del jurado?
¿Qué organización tiene la responsabilidad de elegir a los integrantes del jurado?
¿Quién es el encargado de designar a los miembros del jurado?
¿Qué autoridad designa a los integrantes del jurado?
¿Qué organismo tiene a su cargo la designación de los miembros del jurado?","Que organismo designa a los integrantes del jurado?
 ¿Qué entidad es responsable de nombrar a los miembros del jurado?
 ¿Quién designa a los integrantes del jurado?
 ¿Qué organismo tiene la potestad de designar a los miembros del jurado?
 ¿Qué autoridad se encarga de designar a los integrantes del jurado?","Que organismo designa a los integrantes del jurado?
¿Qué entidad es responsable de nombrar a los miembros del jurado?
¿Quién designa a los integrantes del jurado?"
16,Que condiciones deben reunir los integrantes del jurado?,"Que condiciones deben reunir los integrantes del jurado?
¿Qué requisitos deben cumplir los miembros del jurado?
¿Qué características se exigen a los integrantes del jurado?
¿Qué condiciones son necesarias para ser miembro del jurado?
¿Qué cualidades deben tener los integrantes del jurado?
¿Qué requisitos deben cumplir los miembros del jurado?
¿Qué condiciones deben satisfacer quienes forman parte del jurado?
¿Qué perfil deben tener los integrantes del jurado?
¿Qué requisitos son indispensables para los miembros del jurado?
¿Qué condiciones deben poseer los que conforman el jurado?","Que condiciones deben reunir los integrantes del jurado?
 ¿Qué requisitos deben cumplir los miembros del jurado?
 ¿Qué características se exigen a los integrantes del jurado?
 ¿Qué condiciones son necesarias para ser miembro del jurado?
 ¿Qué cualidades deben tener los integrantes del jurado?","Que condiciones deben reunir los integrantes del jurado?
¿Qué requisitos deben cumplir los miembros del jurado?
¿Qué características se exigen a los integrantes del jurado?"
17,Cómo se realiza la recusasión de los miembros del jurado?,"Cómo se realiza la recusación de los miembros del jurado?
¿Cómo se lleva a cabo la recusación de un miembro del jurado?
¿Qué pasos se siguen para recusar a un miembro del jurado?
¿Cómo se presenta la recusación de los integrantes del jurado?
¿Cuál es el proceso para recusar a un miembro del jurado?
¿Cómo se gestiona la recusación de los miembros del jurado?
¿Qué procedimiento se aplica para recusar a un miembro del jurado?
¿Cómo se efectúa la recusación de los integrantes del jurado?
¿De qué manera se tramita la recusación de un miembro del jurado?
¿Cómo se formaliza la recusación de los miembros del jurado?","Cómo se realiza la recusación de los miembros del jurado?
 ¿Cómo se lleva a cabo la recusación de un miembro del jurado?
 ¿Qué pasos se siguen para recusar a un miembro del jurado?
 ¿Cómo se presenta la recusación de los integrantes del jurado?
 ¿Cuál es el proceso para recusar a un miembro del jurado?","Cómo se realiza la recusación de los miembros del jurado?
¿Cómo se lleva a cabo la recusación de un miembro del jurado?
¿Qué pasos se siguen para recusar a un miembro del jurado?"
18,Cuales son los causales de recusasión para algún aspirante?,"Cuales son los causales de recusación para algún aspirante?
¿Qué motivos pueden llevar a la recusación de un aspirante?
¿Qué razones justifican la recusación de un candidato?
¿Cuáles son las causas de recusación para un aspirante?
¿Qué factores pueden dar lugar a la recusación de un postulante?
¿Qué fundamentos existen para recusar a un aspirante?
¿Cuáles son los motivos válidos para recusar a un aspirante?
¿Qué justificaciones se consideran para la recusación de un candidato?
¿Qué razones pueden fundamentar la recusación de un aspirante?
¿Cuáles son los argumentos para recusar a un postulante?","Cuales son los causales de recusación para algún aspirante?
 ¿Qué motivos pueden llevar a la recusación de un aspirante?
 ¿Qué razones justifican la recusación de un candidato?
 ¿Cuáles son las causas de recusación para un aspirante?
 ¿Qué factores pueden dar lugar a la recusación de un postulante?","Cuales son los causales de recusación para algún aspirante?
¿Qué motivos pueden llevar a la recusación de un aspirante?
¿Qué razones justifican la recusación de un candidato?"
19,Qué organismo resuelve las recusasiones y excusasiones del jurado?,"Qué organismo resuelve las recusaciones y excusaciones del jurado?
¿Qué entidad es la encargada de resolver las recusaciones y excusaciones del jurado?
¿Quién toma decisiones sobre las recusaciones y excusaciones del jurado?
¿Qué organismo tiene la autoridad para resolver las recusaciones y excusaciones del jurado?
¿Qué institución se ocupa de tratar las recusaciones y excusaciones del jurado?
¿Quién se encarga de resolver las recusaciones y excusaciones de los miembros del jurado?
¿Qué autoridad resuelve los casos de recusación y excusación del jurado?
¿Quién es responsable de resolver las recusaciones y excusaciones del jurado?
¿Qué organismo tiene la última palabra en las recusaciones y excusaciones del jurado?
¿Qué entidad está facultada para resolver las recusaciones y excusaciones del jurado?","Qué organismo resuelve las recusaciones y excusaciones del jurado?
 ¿Qué entidad es la encargada de resolver las recusaciones y excusaciones del jurado?
 ¿Quién toma decisiones sobre las recusaciones y excusaciones del jurado?
 ¿Qué organismo tiene la autoridad para resolver las recusaciones y excusaciones del jurado?
 ¿Qué institución se ocupa de tratar las recusaciones y excusaciones del jurado?","Qué organismo resuelve las recusaciones y excusaciones del jurado?
¿Qué entidad es la encargada de resolver las recusaciones y excusaciones del jurado?
¿Quién toma decisiones sobre las recusaciones y excusaciones del jurado?"
20,Quien reemplaza a un jurado recusado o excusado?,"Quien reemplaza a un jurado recusado o excusado?
¿Quién toma el lugar de un jurado que ha sido recusado o excusado?
¿Quién sustituye a un miembro del jurado que es recusado o excusado?
¿A quién se designa para reemplazar a un jurado recusado o excusado?
¿Quién asume el puesto de un jurado recusado o excusado?
¿Quién cubre la vacante de un jurado que es recusado o excusado?
¿Quién se encarga de reemplazar a un jurado recusado o excusado?
¿Quién actúa en lugar de un jurado que ha sido recusado o excusado?
¿Quiénes son designados para sustituir a un jurado recusado o excusado?
¿A quién se elige para reemplazar a un jurado recusado o excusado?","Quien reemplaza a un jurado recusado o excusado?
 ¿Quién toma el lugar de un jurado que ha sido recusado o excusado?
 ¿Quién sustituye a un miembro del jurado que es recusado o excusado?
 ¿A quién se designa para reemplazar a un jurado recusado o excusado?
 ¿Quién asume el puesto de un jurado recusado o excusado?","Quien reemplaza a un jurado recusado o excusado?
¿Quién toma el lugar de un jurado que ha sido recusado o excusado?
¿Quién sustituye a un miembro del jurado que es recusado o excusado?"
21,Que presencia hace falta para que el jurado funciones válidamente?,"Que presencia hace falta para que el jurado funcione válidamente?
¿Qué asistencia es necesaria para que el jurado pueda operar válidamente?
¿Qué presencia se requiere para que el jurado sea válido?
¿Qué número de miembros debe estar presente para que el jurado funcione correctamente?
¿Qué cantidad de jurados se necesita para que las decisiones sean válidas?
¿Qué presencia mínima es requerida para que el jurado sea válido?
¿Qué proporción de miembros debe estar para que el jurado funcione legalmente?
¿Cuántos integrantes deben estar presentes para que el jurado funcione adecuadamente?
¿Qué asistencia es obligatoria para que el jurado sea funcional?
¿Qué cantidad de miembros presentes garantiza el funcionamiento válido del jurado?","Que presencia hace falta para que el jurado funcione válidamente?
 ¿Qué asistencia es necesaria para que el jurado pueda operar válidamente?
 ¿Qué presencia se requiere para que el jurado sea válido?
 ¿Qué número de miembros debe estar presente para que el jurado funcione correctamente?
 ¿Qué cantidad de jurados se necesita para que las decisiones sean válidas?","Que presencia hace falta para que el jurado funcione válidamente?
¿Qué asistencia es necesaria para que el jurado pueda operar válidamente?
¿Qué presencia se requiere para que el jurado sea válido?"
22,Que antelación tiene que haber para realizar un sorteo del tema y orden de exposición?,"Que antelación tiene que haber para realizar un sorteo del tema y orden de exposición?
¿Cuánto tiempo previo es necesario para realizar el sorteo del tema y orden de exposición?
¿Qué anticipación se requiere para efectuar el sorteo de tema y orden de exposición?
¿Cuál es la antelación mínima para llevar a cabo el sorteo de tema y orden de exposición?
¿Qué margen de tiempo debe haber antes de realizar el sorteo del tema y orden de exposición?
¿Cuánto antes debe realizarse el sorteo del tema y orden de exposición?
¿Qué plazo se establece para efectuar el sorteo del tema y el orden de exposición?
¿Cuánta anticipación es necesaria para realizar el sorteo del tema y del orden de exposición?
¿Cuándo debe realizarse el sorteo del tema y del orden de exposición?
¿Qué tiempo previo es necesario para realizar el sorteo de tema y orden de exposición?","Que antelación tiene que haber para realizar un sorteo del tema y orden de exposición?
 ¿Cuánto tiempo previo es necesario para realizar el sorteo del tema y orden de exposición?
 ¿Qué anticipación se requiere para efectuar el sorteo de tema y orden de exposición?
 ¿Cuál es la antelación mínima para llevar a cabo el sorteo de tema y orden de exposición?
 ¿Qué margen de tiempo debe haber antes de realizar el sorteo del tema y orden de exposición?","Que antelación tiene que haber para realizar un sorteo del tema y orden de exposición?
¿Cuánto tiempo previo es necesario para realizar el sorteo del tema y orden de exposición?
¿Qué anticipación se requiere para efectuar el sorteo de tema y orden de exposición?"
23,Cuales son las pautas para la evaluación de un aspirante?,"Cuales son las pautas para la evaluación de un aspirante?
¿Qué criterios se utilizan para evaluar a un aspirante?
¿Cuáles son las normas para la evaluación de un candidato?
¿Qué normas se siguen para la evaluación de un postulante?
¿Qué pautas se aplican en la evaluación de un aspirante?
¿Cuáles son las reglas para evaluar a un aspirante en un concurso?
¿Qué guías se siguen para la evaluación de los candidatos?
¿Qué se consideran en la evaluación de un aspirante?
¿Cuáles son los puntos clave para evaluar a un postulante?
¿Qué pautas se toman en cuenta para evaluar a un aspirante?","Cuales son las pautas para la evaluación de un aspirante?
 ¿Qué criterios se utilizan para evaluar a un aspirante?
 ¿Cuáles son las normas para la evaluación de un candidato?
 ¿Qué normas se siguen para la evaluación de un postulante?
 ¿Qué pautas se aplican en la evaluación de un aspirante?","Cuales son las pautas para la evaluación de un aspirante?
¿Qué criterios se utilizan para evaluar a un aspirante?
¿Cuáles son las normas para la evaluación de un candidato?"
24,Cuanto tiempo debe pasar para notificar las conclusiones del dictamen del jurado?,"Cuanto tiempo debe pasar para notificar las conclusiones del dictamen del jurado?
¿Cuál es el plazo para informar las conclusiones del dictamen del jurado?
¿Cuánto tiempo se necesita para notificar el resultado del dictamen del jurado?
¿Cuándo se deben comunicar las conclusiones del dictamen del jurado?
¿Qué tiempo tiene el jurado para notificar sus conclusiones?
¿En qué plazo deben notificarse las conclusiones del dictamen del jurado?
¿Cuánto tiempo puede transcurrir antes de notificar las conclusiones del jurado?
¿Cuál es el periodo máximo para notificar las conclusiones del dictamen del jurado?
¿Cuánto tiempo se otorga para la notificación de las conclusiones del jurado?
¿Cuál es el lapso permitido para notificar el dictamen del jurado?","Cuanto tiempo debe pasar para notificar las conclusiones del dictamen del jurado?
 ¿Cuál es el plazo para informar las conclusiones del dictamen del jurado?
 ¿Cuánto tiempo se necesita para notificar el resultado del dictamen del jurado?
 ¿Cuándo se deben comunicar las conclusiones del dictamen del jurado?
 ¿Qué tiempo tiene el jurado para notificar sus conclusiones?","Cuanto tiempo debe pasar para notificar las conclusiones del dictamen del jurado?
¿Cuál es el plazo para informar las conclusiones del dictamen del jurado?
¿Cuánto tiempo se necesita para notificar el resultado del dictamen del jurado?"
25,A cargo de que organismo está la designación de profesores por concurso?,"A cargo de que organismo está la designación de profesores por concurso?
¿Qué entidad es responsable de la designación de profesores por concurso?
¿A qué organismo le compete la designación de profesores mediante concurso?
¿Quién se encarga de la designación de los profesores por concurso?
¿Qué organismo tiene la responsabilidad de nombrar a los profesores por concurso?
¿Quién está a cargo de la selección de profesores por concurso?
¿Qué institución se ocupa de la designación de profesores mediante concurso?
¿Quién designa a los profesores a través de un concurso?
¿Qué organización se encarga de la designación de profesores por concurso?
¿Quién tiene la potestad de designar profesores por concurso?","A cargo de que organismo está la designación de profesores por concurso?
 ¿Qué entidad es responsable de la designación de profesores por concurso?
 ¿A qué organismo le compete la designación de profesores mediante concurso?
 ¿Quién se encarga de la designación de los profesores por concurso?
 ¿Qué organismo tiene la responsabilidad de nombrar a los profesores por concurso?","A cargo de que organismo está la designación de profesores por concurso?
¿Qué entidad es responsable de la designación de profesores por concurso?
¿A qué organismo le compete la designación de profesores mediante concurso?"
26,Qué sucede cuando existen reales dificultades para obtener miembros del jurado?,"Qué sucede cuando existen reales dificultades para obtener miembros del jurado?
¿Qué ocurre si hay dificultades reales para conseguir miembros del jurado?
¿Qué se hace cuando es difícil conseguir miembros para el jurado?
¿Qué acciones se toman si hay problemas para reunir a los miembros del jurado?
¿Qué pasa cuando es complicado encontrar miembros del jurado?
¿Cómo se procede si hay obstáculos para conformar el jurado?
¿Qué se decide cuando existen problemas para conseguir integrantes del jurado?
¿Qué sucede si no se pueden reunir suficientes miembros para el jurado?
¿Qué se resuelve si hay dificultades para encontrar miembros del jurado?
¿Qué pasa cuando no se logran obtener suficientes miembros para el jurado?","Qué sucede cuando existen reales dificultades para obtener miembros del jurado?
 ¿Qué ocurre si hay dificultades reales para conseguir miembros del jurado?
 ¿Qué se hace cuando es difícil conseguir miembros para el jurado?
 ¿Qué acciones se toman si hay problemas para reunir a los miembros del jurado?
 ¿Qué pasa cuando es complicado encontrar miembros del jurado?","Qué sucede cuando existen reales dificultades para obtener miembros del jurado?
¿Qué ocurre si hay dificultades reales para conseguir miembros del jurado?
¿Qué se hace cuando es difícil conseguir miembros para el jurado?"
